date,value
02.06.22,29951.90
01.06.22,29798.50
31.05.22,31793.40
30.05.22,31723.30
29.05.22,29465.20
28.05.22,29027.10
27.05.22,28601.20
26.05.22,29203.50
25.05.22,29540.60
24.05.22,29648.70
23.05.22,29093.30
22.05.22,30286.60
21.05.22,29434.60
20.05.22,29178.60
19.05.22,30305.90
18.05.22,28683.70
17.05.22,30437.50
16.05.22,29849.00
15.05.22,31308.70
14.05.22,30080.40
13.05.22,29284.40
12.05.22,28976.00
11.05.22,29068.20
10.05.22,31007.50
09.05.22,30095.00
08.05.22,34060.00
07.05.22,35468.00
06.05.22,36009.00
05.05.22,36544.00
04.05.22,39688.00
03.05.22,37718.00
02.05.22,38514.00
01.05.22,38461.00
30.04.22,37650.00
29.04.22,38581.00
28.04.22,39748.00
27.04.22,39243.00
26.04.22,38113.00
25.04.22,40427.00
24.04.22,39464.00
23.04.22,39418.00
22.04.22,39709.00
21.04.22,40482.00
20.04.22,41368.00
19.04.22,41503.00
18.04.22,40803.00
17.04.22,39703.00
16.04.22,40382.00
15.04.22,40560.00
14.04.22,39936.00
13.04.22,41133.00
12.04.22,40078.00
11.04.22,39497.00
10.04.22,42138.00
09.04.22,42767.00
08.04.22,42275.00
07.04.22,43448.00
06.04.22,43173.00
05.04.22,45506.00
04.04.22,46629.00
03.04.22,46407.00
02.04.22,45811.00
01.04.22,46297.00
31.03.22,45525.00
30.03.22,47075.00
29.03.22,47449.00
28.03.22,47105.00
27.03.22,46859.00
26.03.22,44548.00
25.03.22,44331.00
24.03.22,44013.00
23.03.22,42912.00
22.03.22,42373.00
21.03.22,41022.00
20.03.22,41276.00
19.03.22,42233.00
18.03.22,41767.80
17.03.22,40914.80
16.03.22,41118.70
15.03.22,39285.70
14.03.22,39671.10
13.03.22,37792.40
12.03.22,38814.30
11.03.22,38730.20
10.03.22,39416.30
09.03.22,41929.00
08.03.22,38744.80
07.03.22,38024.80
06.03.22,38403.10
05.03.22,39395.80
04.03.22,39142.70
03.03.22,42463.00
02.03.22,43912.80
01.03.22,44420.30
28.02.22,43188.20
27.02.22,37689.10
26.02.22,39115.50
25.02.22,39209.60
24.02.22,38339.20
23.02.22,37224.60
22.02.22,38248.20
21.02.22,37017.70
20.02.22,38355.00
19.02.22,40090.30
18.02.22,40000.10
17.02.22,40552.80
16.02.22,43883.60
15.02.22,44544.40
14.02.22,42550.30
13.02.22,42061.10
12.02.22,42205.20
11.02.22,42388.40
10.02.22,43521.00
09.02.22,44388.90
08.02.22,44038.20
07.02.22,43833.90
06.02.22,42392.20
05.02.22,41412.10
04.02.22,41567.60
03.02.22,37287.80
02.02.22,36890.20
01.02.22,38709.70
31.01.22,38498.60
30.01.22,37917.70
29.01.22,38170.80
28.01.22,37745.10
27.01.22,37164.30
26.01.22,36800.40
25.01.22,36950.60
24.01.22,36686.30
23.01.22,36269.50
22.01.22,35075.20
21.01.22,36475.50
20.01.22,40715.90
19.01.22,41677.80
18.01.22,42364.60
17.01.22,42209.30
16.01.22,43079.10
15.01.22,43097.00
14.01.22,43073.30
13.01.22,42560.00
12.01.22,43901.00
11.01.22,42733.20
10.01.22,41832.20
09.01.22,41848.30
08.01.22,41672.00
07.01.22,41546.70
06.01.22,43097.50
05.01.22,43425.90
04.01.22,45837.30
03.01.22,46430.20
02.01.22,47311.80
01.01.22,47738.00
31.12.21,46219.50
30.12.21,47123.30
29.12.21,46461.70
28.12.21,47545.20
27.12.21,50678.20
26.12.21,50779.90
25.12.21,50406.40
24.12.21,50786.10
23.12.21,50801.00
22.12.21,48599.70
