date,value
2022-06-02,29951.90
2022-06-01,29798.50
2022-05-31,31793.40
2022-05-30,31723.30
2022-05-29,29465.20
2022-05-28,29027.10
2022-05-27,28601.20
2022-05-26,29203.50
2022-05-25,29540.60
2022-05-24,29648.70
2022-05-23,29093.30
2022-05-22,30286.60
2022-05-21,29434.60
2022-05-20,29178.60
2022-05-19,30305.90
2022-05-18,28683.70
2022-05-17,30437.50
2022-05-16,29849.00
2022-05-15,31308.70
2022-05-14,30080.40
2022-05-13,29284.40
2022-05-12,28976.00
2022-05-11,29068.20
2022-05-10,31007.50
2022-05-09,30095.00
2022-05-08,34060.00
2022-05-07,35468.00
2022-05-06,36009.00
2022-05-05,36544.00
2022-05-04,39688.00
2022-05-03,37718.00
2022-05-02,38514.00
2022-05-01,38461.00
2022-04-30,37650.00
2022-04-29,38581.00
2022-04-28,39748.00
2022-04-27,39243.00
2022-04-26,38113.00
2022-04-25,40427.00
2022-04-24,39464.00
2022-04-23,39418.00
2022-04-22,39709.00
2022-04-21,40482.00
2022-04-20,41368.00
2022-04-19,41503.00
2022-04-18,40803.00
2022-04-17,39703.00
2022-04-16,40382.00
2022-04-15,40560.00
2022-04-14,39936.00
2022-04-13,41133.00
2022-04-12,40078.00
2022-04-11,39497.00
2022-04-10,42138.00
2022-04-09,42767.00
2022-04-08,42275.00
2022-04-07,43448.00
2022-04-06,43173.00
2022-04-05,45506.00
2022-04-04,46629.00
2022-04-03,46407.00
2022-04-02,45811.00
2022-04-01,46297.00
2022-03-31,45525.00
2022-03-30,47075.00
2022-03-29,47449.00
2022-03-28,47105.00
2022-03-27,46859.00
2022-03-26,44548.00
2022-03-25,44331.00
2022-03-24,44013.00
2022-03-23,42912.00
2022-03-22,42373.00
2022-03-21,41022.00
2022-03-20,41276.00
2022-03-19,42233.00
2022-03-18,41767.80
2022-03-17,40914.80
2022-03-16,41118.70
2022-03-15,39285.70
2022-03-14,39671.10
2022-03-13,37792.40
2022-03-12,38814.30
2022-03-11,38730.20
2022-03-10,39416.30
2022-03-09,41929.00
2022-03-08,38744.80
2022-03-07,38024.80
2022-03-06,38403.10
2022-03-05,39395.80
2022-03-04,39142.70
2022-03-03,42463.00
2022-03-02,43912.80
2022-03-01,44420.30
2022-02-28,43188.20
2022-02-27,37689.10
2022-02-26,39115.50
2022-02-25,39209.60
2022-02-24,38339.20
2022-02-23,37224.60
2022-02-22,38248.20
2022-02-21,37017.70
2022-02-20,38355.00
2022-02-19,40090.30
2022-02-18,40000.10
2022-02-17,40552.80
2022-02-16,43883.60
2022-02-15,44544.40
2022-02-14,42550.30
2022-02-13,42061.10
2022-02-12,42205.20
2022-02-11,42388.40
2022-02-10,43521.00
2022-02-09,44388.90
2022-02-08,44038.20
2022-02-07,43833.90
2022-02-06,42392.20
2022-02-05,41412.10
2022-02-04,41567.60
2022-02-03,37287.80
2022-02-02,36890.20
2022-02-01,38709.70
2022-01-31,38498.60
2022-01-30,37917.70
2022-01-29,38170.80
2022-01-28,37745.10
2022-01-27,37164.30
2022-01-26,36800.40
2022-01-25,36950.60
2022-01-24,36686.30
2022-01-23,36269.50
2022-01-22,35075.20
2022-01-21,36475.50
2022-01-20,40715.90
2022-01-19,41677.80
2022-01-18,42364.60
2022-01-17,42209.30
2022-01-16,43079.10
2022-01-15,43097.00
2022-01-14,43073.30
2022-01-13,42560.00
2022-01-12,43901.00
2022-01-11,42733.20
2022-01-10,41832.20
2022-01-09,41848.30
2022-01-08,41672.00
2022-01-07,41546.70
2022-01-06,43097.50
2022-01-05,43425.90
2022-01-04,45837.30
2022-01-03,46430.20
2022-01-02,47311.80
2022-01-01,47738.00
2021-12-31,46219.50
2021-12-30,47123.30
2021-12-29,46461.70
2021-12-28,47545.20
2021-12-27,50678.20
2021-12-26,50779.90
2021-12-25,50406.40
2021-12-24,50786.10
2021-12-23,50801.00
2021-12-22,48599.70
2021-12-21,48902.00
2021-12-20,46895.20
2021-12-19,46704.50
2021-12-18,46856.20
2021-12-17,46172.20
2021-12-16,47628.20
2021-12-15,48871.50
2021-12-14,48366.50
2021-12-13,46703.60
2021-12-12,50081.00
2021-12-11,49314.50
2021-12-10,47137.20
2021-12-09,47596.60
2021-12-08,50473.90
2021-12-07,50595.20
2021-12-06,50562.10
2021-12-05,49405.50
2021-12-04,49195.20
2021-12-03,53631.50
2021-12-02,56496.00
2021-12-01,57210.30
2021-11-30,56882.90
2021-11-29,57794.80
2021-11-28,57291.50
2021-11-27,54765.90
2021-11-26,53730.90
2021-11-25,58935.10
2021-11-24,57171.70
2021-11-23,57573.20
2021-11-22,56308.80
2021-11-21,58714.30
2021-11-20,59717.60
2021-11-19,58083.40
2021-11-18,56955.30
2021-11-17,60367.80
2021-11-16,60089.10
2021-11-15,63597.90
2021-11-14,65508.20
2021-11-13,64398.60
2021-11-12,64134.50
2021-11-11,64806.70
2021-11-10,64932.60
2021-11-09,66904.40
2021-11-08,67527.90
2021-11-07,63273.20
2021-11-06,61483.90
2021-11-05,60974.30
2021-11-04,61412.60
2021-11-03,62918.50
2021-11-02,63221.70
2021-11-01,60915.30
2021-10-31,61309.60
2021-10-30,61840.10
2021-10-29,62242.80
2021-10-28,60582.50
2021-10-27,58438.10
2021-10-26,60310.80
2021-10-25,63067.00
2021-10-24,60866.50
2021-10-23,61312.50
2021-10-22,60690.30
2021-10-21,62210.20
2021-10-20,65979.10
2021-10-19,64278.50
2021-10-18,62056.30
2021-10-17,61527.50
2021-10-16,60861.10
2021-10-15,61672.50
2021-10-14,57345.80
2021-10-13,57380.10
2021-10-12,56015.90
2021-10-11,57477.30
2021-10-10,54687.70
2021-10-09,54942.50
2021-10-08,53914.70
2021-10-07,53783.90
2021-10-06,55323.20
2021-10-05,51469.30
2021-10-04,49227.30
2021-10-03,48200.10
2021-10-02,47666.90
2021-10-01,48146.00
2021-09-30,43823.30
2021-09-29,41536.80
2021-09-28,41022.30
2021-09-27,42172.60
2021-09-26,43203.40
2021-09-25,42686.80
2021-09-24,42819.90
2021-09-23,44869.20
2021-09-22,43551.60
2021-09-21,40651.30
2021-09-20,42870.60
2021-09-19,47238.70
2021-09-18,48306.70
2021-09-17,47282.80
2021-09-16,47748.00
2021-09-15,48130.60
2021-09-14,47077.50
2021-09-13,44949.50
2021-09-12,46062.30
2021-09-11,45161.90
2021-09-10,44842.80
2021-09-09,46385.60
2021-09-08,46061.40
2021-09-07,46779.60
2021-09-06,52672.10
2021-09-05,51768.60
2021-09-04,49918.40
2021-09-03,49999.00
2021-09-02,49274.30
2021-09-01,48819.40
2021-08-31,47130.40
2021-08-30,46992.70
2021-08-29,48777.40
2021-08-28,48897.10
2021-08-27,49064.30
2021-08-26,46831.60
2021-08-25,48994.50
2021-08-24,47714.70
2021-08-23,49539.70
2021-08-22,49254.50
2021-08-21,48875.80
2021-08-20,49324.00
2021-08-19,46755.90
2021-08-18,44723.80
2021-08-17,44691.60
2021-08-16,45996.30
2021-08-15,46991.30
2021-08-14,47081.50
2021-08-13,47809.10
2021-08-12,44403.40
2021-08-11,45564.30
2021-08-10,45593.80
2021-08-09,46284.30
2021-08-08,43792.80
2021-08-07,44614.20
2021-08-06,42795.40
2021-08-05,40867.20
2021-08-04,39736.90
2021-08-03,38130.30
2021-08-02,39168.40
2021-08-01,39878.30
2021-07-31,41553.70
2021-07-30,42203.40
2021-07-29,40001.40
2021-07-28,40003.20
2021-07-27,39452.00
2021-07-26,37276.60
2021-07-25,35391.10
2021-07-24,33824.80
2021-07-23,33603.30
2021-07-22,32298.90
2021-07-21,32131.40
2021-07-20,29793.80
2021-07-19,30837.20
2021-07-18,31785.40
2021-07-17,31518.60
2021-07-16,31394.00
2021-07-15,31840.50
2021-07-14,32820.70
2021-07-13,32728.10
2021-07-12,33113.00
2021-07-11,34227.70
2021-07-10,33510.60
2021-07-09,33797.40
2021-07-08,32866.30
2021-07-07,33867.80
2021-07-06,34225.60
2021-07-05,33687.80
2021-07-04,35298.20
2021-07-03,34742.80
2021-07-02,33813.40
2021-07-01,33543.60
2021-06-30,35026.90
2021-06-29,35834.70
2021-06-28,34475.90
2021-06-27,34678.50
2021-06-26,32243.40
2021-06-25,31594.00
2021-06-24,34665.80
2021-06-23,33674.30
2021-06-22,32496.40
2021-06-21,31692.00
2021-06-20,35595.80
2021-06-19,35513.40
2021-06-18,35749.40
2021-06-17,38052.00
2021-06-16,38336.00
2021-06-15,40156.10
2021-06-14,40529.40
2021-06-13,39022.90
2021-06-12,35467.50
2021-06-11,37314.60
2021-06-10,36649.40
2021-06-09,37332.20
2021-06-08,33382.90
2021-06-07,33578.00
2021-06-06,35815.40
2021-06-05,35520.00
2021-06-04,36851.30
2021-06-03,39187.30
2021-06-02,37555.80
2021-06-01,36687.60
2021-05-31,37298.60
2021-05-30,35652.80
2021-05-29,34584.60
2021-05-28,35662.50
2021-05-27,38417.30
2021-05-26,39249.20
2021-05-25,38378.30
2021-05-24,38750.60
2021-05-23,34679.70
2021-05-22,37448.30
2021-05-21,37297.40
2021-05-20,40717.20
2021-05-19,36720.50
2021-05-18,42897.30
2021-05-17,43541.30
2021-05-16,46426.40
2021-05-15,46708.80
2021-05-14,49839.80
2021-05-13,49704.60
2021-05-12,49384.20
2021-05-11,56695.70
2021-05-10,55848.90
2021-05-09,58238.30
2021-05-08,58840.10
2021-05-07,57337.20
2021-05-06,56405.40
2021-05-05,57441.30
2021-05-04,53741.50
2021-05-03,57169.80
2021-05-02,56603.80
2021-05-01,57807.10
2021-04-30,57720.30
2021-04-29,53560.80
2021-04-28,54841.40
2021-04-27,55036.50
2021-04-26,54020.50
2021-04-25,48963.60
2021-04-24,50088.90
2021-04-23,51143.60
2021-04-22,51729.50
2021-04-21,53820.20
2021-04-20,56483.20
2021-04-19,55646.10
2021-04-18,56207.10
2021-04-17,60041.90
2021-04-16,61379.70
2021-04-15,63216.00
2021-04-14,62980.40
2021-04-13,63540.90
2021-04-12,59863.80
2021-04-11,59978.70
2021-04-10,59748.40
2021-04-09,58118.70
2021-04-08,58077.40
2021-04-07,55948.70
2021-04-06,57996.30
2021-04-05,58993.40
2021-04-04,58199.90
2021-04-03,57059.90
2021-04-02,58977.30
2021-04-01,58718.30
2021-03-31,58763.70
2021-03-30,58771.30
2021-03-29,57616.20
2021-03-28,55765.20
2021-03-27,55862.90
2021-03-26,55036.10
2021-03-25,51322.30
2021-03-24,52325.40
2021-03-23,54452.50
2021-03-22,54158.30
2021-03-21,57383.80
2021-03-20,58093.40
2021-03-19,58088.00
2021-03-18,57656.00
2021-03-17,58913.50
2021-03-16,56889.70
2021-03-15,55791.30
2021-03-14,59113.70
2021-03-13,61195.30
2021-03-12,57265.10
2021-03-11,57799.50
2021-03-10,55851.90
2021-03-09,54879.00
2021-03-08,52311.00
2021-03-07,50982.30
2021-03-06,48855.60
2021-03-05,48792.50
2021-03-04,48428.00
2021-03-03,50395.10
2021-03-02,48424.20
2021-03-01,49595.50
2021-02-28,45164.00
2021-02-27,46136.70
2021-02-26,46345.60
2021-02-25,46928.50
2021-02-24,49697.50
2021-02-23,48911.20
2021-02-22,54111.80
2021-02-21,57433.80
2021-02-20,55923.70
2021-02-19,55906.60
2021-02-18,51582.20
2021-02-17,52079.20
2021-02-16,49169.70
2021-02-15,47936.30
2021-02-14,48643.40
2021-02-13,47168.70
2021-02-12,47371.70
2021-02-11,47990.70
2021-02-10,44836.00
2021-02-09,46508.60
2021-02-08,46395.70
2021-02-07,38852.90
2021-02-06,39256.60
2021-02-05,38297.60
2021-02-04,36982.10
2021-02-03,37646.80
2021-02-02,35485.20
2021-02-01,33515.70
2021-01-31,33108.10
2021-01-30,34283.10
2021-01-29,34301.80
2021-01-28,33374.80
2021-01-27,30404.00
2021-01-26,32502.10
2021-01-25,32252.30
2021-01-24,32241.30
2021-01-23,32088.90
2021-01-22,33000.50
2021-01-21,30842.10
2021-01-20,35476.30
2021-01-19,36002.90
2021-01-18,36613.20
2021-01-17,35839.60
2021-01-16,36019.50
2021-01-15,36845.80
2021-01-14,39175.70
